name,description,lat,lng
Royal Parade between Grattan Street and Story Street,description: ﻿UsageType: Disable Parking<br>Latitude: -37.7976136<br>Longitude: 144.9580346<br>Latitude: -37.7976136<br>Longitude: 144.9580346<br>﻿UsageType: Disable Parking,-37.797614,144.958035
Royal Parade between Grattan Street and Story Street,description: ﻿UsageType: Disable Parking<br>Latitude: -37.7975584<br>Longitude: 144.9580411<br>Latitude: -37.7975584<br>Longitude: 144.9580411<br>﻿UsageType: Disable Parking,-37.797558,144.958041
Royal Parade between Gatehouse Street and Degraves Street,description: ﻿UsageType: Disable Parking<br>Latitude: -37.7932788<br>Longitude: 144.9581288<br>Latitude: -37.7932788<br>Longitude: 144.9581288<br>﻿UsageType: Disable Parking,-37.793279,144.958129
Royal Parade between Gatehouse Street and Degraves Street,description: ﻿UsageType: Disable Parking<br>Latitude: -37.7932279<br>Longitude: 144.9581351<br>Latitude: -37.7932279<br>Longitude: 144.9581351<br>﻿UsageType: Disable Parking,-37.793228,144.958135
Royal Parade between Gatehouse Street and Degraves Street,description: ﻿UsageType: Disable Parking<br>Latitude: -37.7931769<br>Longitude: 144.9581414<br>Latitude: -37.7931769<br>Longitude: 144.9581414<br>﻿UsageType: Disable Parking,-37.793177,144.958141
Royal Parade between Bayles Street and Morrah Street,description: ﻿UsageType: Disable Parking<br>Latitude: -37.7951389<br>Longitude: 144.957901<br>Latitude: -37.7951389<br>Longitude: 144.957901<br>﻿UsageType: Disable Parking,-37.795139,144.957901
Rosslyn Street between Railway Place and Adderley Street,description: ﻿UsageType: Disable Parking<br>Latitude: -37.8109167<br>Longitude: 144.9457689<br>Latitude: -37.8109167<br>Longitude: 144.9457689<br>﻿UsageType: Disable Parking,-37.810917,144.945769
Rosslyn Street between King Street and Spencer Street,description: ﻿UsageType: Disable Parking<br>Latitude: -37.8087014<br>Longitude: 144.9503247<br>Latitude: -37.8087014<br>Longitude: 144.9503247<br>﻿UsageType: Disable Parking,-37.808701,144.950325
Roden Street between Spencer Street and King Street,description: ﻿UsageType: Disable Parking<br>Latitude: -37.8069486<br>Longitude: 144.9488942<br>Latitude: -37.8069486<br>Longitude: 144.9488942<br>﻿UsageType: Disable Parking,-37.806949,144.948894
Roden Street between King Street and Eades Place,description: ﻿UsageType: Disable Parking<br>Latitude: -37.8058766<br>Longitude: 144.9505229<br>Latitude: -37.8058766<br>Longitude: 144.9505229<br>﻿UsageType: Disable Parking,-37.805877,144.950523
Robertson Street between Thompson Street and Stubbs Street,description: ﻿UsageType: Disable Parking<br>Latitude: -37.7932421<br>Longitude: 144.9345506<br>Latitude: -37.7932421<br>Longitude: 144.9345506<br>﻿UsageType: Disable Parking,-37.793242,144.934551
Robertson Street between Lambeth Street and Thompson Street,description: ﻿UsageType: Disable Parking<br>Latitude: -37.7932242<br>Longitude: 144.9343795<br>Latitude: -37.7932242<br>Longitude: 144.9343795<br>﻿UsageType: Disable Parking,-37.793224,144.93438
