RoadSegmentID,KerbsideID,RoadSegmentDescription,Latitude,Longitude,LastUpdated,Location
20931,,Cobden Street between Victoria Street and Princess Street,-37.8053397,144.9572894,2023-10-31,"-37.8053397, 144.9572894"
20931,9450,Cobden Street between Victoria Street and Princess Street,-37.8051802,144.9573177,2023-10-31,"-37.8051802, 144.9573177"
20939,9430,Cobden Street between Princess Street and Queensberry Street,-37.804598,144.9574207,2023-10-31,"-37.804598, 144.9574207"
21626,68521,Therry Street between Victoria Street and Elizabeth Street,-37.8069379,144.9603361,2024-05-06,"-37.8069379, 144.9603361"
21631,53720,Elizabeth Street between Franklin Street and Therry Street,-37.8073821,144.9601197,2024-04-08,"-37.8073821, 144.9601197"
20177,54615,Queen Street between Little Lonsdale Street and La Trobe Street,-37.811564,144.95927,2023-11-21,"-37.811564, 144.95927"
21561,,Evelyn Place between Nicholson Street and Albert Street,-37.8087752,144.9735919,2024-07-30,"-37.8087752, 144.9735919"
23225,15000,Waterfront Way between Footscray Road and Docklands Drive,-37.8136131,144.9393574,2023-10-31,"-37.8136131, 144.9393574"
23225,21493,Waterfront Way between Footscray Road and Docklands Drive,-37.8132528,144.9392577,2023-10-31,"-37.8132528, 144.9392577"
23225,18204,Waterfront Way between Footscray Road and Docklands Drive,-37.8134327,144.9392479,2023-10-31,"-37.8134327, 144.9392479"
21237,,Brougham Street between Abbotsford Street and Dryburgh Street,-37.7937557,144.9457634,2023-10-31,"-37.7937557, 144.9457634"
22592,,Story Street between Park Drive and Benjamin Street,-37.796806,144.9548466,2024-08-08,"-37.796806, 144.9548466"
22592,,Story Street between Park Drive and Benjamin Street,-37.7967455,144.9543339,2024-08-08,"-37.7967455, 144.9543339"
22592,,Story Street between Park Drive and Benjamin Street,-37.7967834,144.9546544,2024-08-08,"-37.7967834, 144.9546544"
22592,,Story Street between Park Drive and Benjamin Street,-37.7967605,144.9544621,2024-08-08,"-37.7967605, 144.9544621"
21963,,Wellington Parade between Clarendon Street and Jolimont Road,-37.8158735,144.9799267,2023-10-31,"-37.8158735, 144.9799267"
21963,,Wellington Parade between Clarendon Street and Jolimont Road,-37.8160688,144.9816923,2023-10-31,"-37.8160688, 144.9816923"
22011,,Blakeney Place from Clarendon Street,-37.8272197,144.957671,2024-04-29,"-37.8272197, 144.957671"
22277,,St Leonards Court from Anderson Street,-37.8294804,144.9854937,2023-10-31,"-37.8294804, 144.9854937"
22951,,Point Park Crescent between Lorimer Street and South Wharf Drive,-37.8235891,144.941962,2023-10-31,"-37.8235891, 144.941962"
22951,,Point Park Crescent between Lorimer Street and South Wharf Drive,-37.8235685,144.9419461,2023-10-31,"-37.8235685, 144.9419461"
22951,,Point Park Crescent between Lorimer Street and South Wharf Drive,-37.8234565,144.9418419,2023-10-31,"-37.8234565, 144.9418419"
22508,,Lygon Street between Princes Street and MacPherson Street,-37.7869847,144.9691844,2023-10-31,"-37.7869847, 144.9691844"
22508,,Lygon Street between Princes Street and MacPherson Street,-37.7864312,144.9692794,2023-10-31,"-37.7864312, 144.9692794"
22508,,Lygon Street between Princes Street and MacPherson Street,-37.7879947,144.9690081,2023-10-31,"-37.7879947, 144.9690081"
22508,,Lygon Street between Princes Street and MacPherson Street,-37.7882122,144.9689711,2023-10-31,"-37.7882122, 144.9689711"
22508,,Lygon Street between Princes Street and MacPherson Street,-37.7909391,144.968504,2023-10-31,"-37.7909391, 144.968504"
22508,,Lygon Street between Princes Street and MacPherson Street,-37.7905967,144.9685639,2023-10-31,"-37.7905967, 144.9685639"
22508,,Lygon Street between Princes Street and MacPherson Street,-37.791681,144.9683754,2023-10-31,"-37.791681, 144.9683754"
22508,,Lygon Street between Princes Street and MacPherson Street,-37.7918523,144.9683467,2023-10-31,"-37.7918523, 144.9683467"
20773,,Cemetery Road East between College Crescent and Lygon Street,-37.7930601,144.9669177,2023-10-31,"-37.7930601, 144.9669177"
20773,,Cemetery Road East between College Crescent and Lygon Street,-37.7931607,144.9660418,2023-10-31,"-37.7931607, 144.9660418"
20773,,Cemetery Road East between College Crescent and Lygon Street,-37.7931943,144.9670261,2023-10-31,"-37.7931943, 144.9670261"
22512,,Princes Park Drive between Cemetery Road West and MacPherson Street,-37.7897131,144.9619284,2023-10-31,"-37.7897131, 144.9619284"
22375,,Cemetery Road West between Royal Parade and College Crescent,-37.7908009,144.9598954,2023-10-31,"-37.7908009, 144.9598954"
20494,,Swanston Street between Elgin Street and College Crescent,-37.7960679,144.9647809,2023-10-31,"-37.7960679, 144.9647809"
20494,,Swanston Street between Elgin Street and College Crescent,-37.7961211,144.9647718,2023-10-31,"-37.7961211, 144.9647718"
22599,,College Crescent between Royal Parade and Cemetery Road West,-37.7921212,144.9604728,2023-10-31,"-37.7921212, 144.9604728"
22598,,Intersection of College Crescent and Princes Park Drive,-37.7920512,144.9607333,2023-10-31,"-37.7920512, 144.9607333"
20494,,Swanston Street between Elgin Street and College Crescent,-37.7940084,144.9651888,2023-10-31,"-37.7940084, 144.9651888"
20573,10285,Kay Street between Canning Street and Rathdowne Street,-37.7949404,144.9717373,2023-10-31,"-37.7949404, 144.9717373"
20573,24420,Kay Street between Canning Street and Rathdowne Street,-37.7950376,144.9726208,2024-08-08,"-37.7950376, 144.9726208"
20573,,Kay Street between Canning Street and Rathdowne Street,-37.7951324,144.9718101,2023-10-31,"-37.7951324, 144.9718101"
20494,,Swanston Street between Elgin Street and College Crescent,-37.7952478,144.9648251,2023-10-31,"-37.7952478, 144.9648251"
22387,,Royal Parade between Ievers Street and Walker Street,-37.7836809,144.9597322,2024-07-03,"-37.7836809, 144.9597322"
22387,,Royal Parade between Ievers Street and Walker Street,-37.7838491,144.9597126,2024-07-03,"-37.7838491, 144.9597126"
22387,,Royal Parade between Ievers Street and Walker Street,-37.7837369,144.9597252,2024-07-03,"-37.7837369, 144.9597252"
22387,,Royal Parade between Ievers Street and Walker Street,-37.7844083,144.9596424,2024-07-03,"-37.7844083, 144.9596424"
22433,,Intersection of Royal Parade and Leonard Street,-37.7876577,144.9592404,2024-07-03,"-37.7876577, 144.9592404"
22435,,Royal Parade between Leonard Street and Walker Street,-37.7860437,144.9594404,2024-07-03,"-37.7860437, 144.9594404"
22435,,Royal Parade between Leonard Street and Walker Street,-37.7860975,144.9594338,2024-07-03,"-37.7860975, 144.9594338"
22434,,Royal Parade between MacArthur Road and Leonard Street,-37.788949,144.9590827,2024-07-03,"-37.788949, 144.9590827"
22363,,Royal Parade between Bayles Street and Morrah Street,-37.7950686,144.9583445,2023-10-31,"-37.7950686, 144.9583445"
